id,tipo,titulo,autor,creador,estado,informacion,imagen_url,leida,created_at,updated_at
,mora,"Brasil ya posee una mora más dulce y rentable para los productores",larepublica,SuperAdmin,aprobado,"Resolviendo los errores de exclamación",http://localhost:8000/storage/noticias/1752348738_6872b842b5216.jpeg,,"2025-07-12 14:32:18","2025-07-12 18:52:45"
,cafe,"Hoy, 11 jueces en arte latte elegirán finalistas que se disputan representar a Colombia en el mundial","Cultiva Sena",SuperAdmin,rechazado,"Buena tardes, me alegra que se encuentren bien, resolviendo los errores de exclamación",http://localhost:8000/storage/noticias/1752345672_6872ac481c05a.jpg,,"2025-07-12 13:41:12","2025-07-12 18:53:04"
,cafe,"Temporada de lluvias arrastró caída de 27% de la producción cafetera durante mayo",larepublica,SuperAdmin,pendiente,"En mayo se produjeron 819.000 sacos de 60 kilogramos, mientras que hace un año la producción alcanzó 1.120 millones de sacos.    Germán Bahamón, gerente general de la Federación Nacional de Cafeteros, entregó los resultados de la producción cafetera correspondiente a mayo de 2025. De acuerdo con el gerente, las lluvias presentadas en el quinto de mayo arrastraron una caída de 27% en la producción en la comparación interanual.    Los datos entregados dan cuenta de que en mayo se produjeron 819.000 sacos de 60 kilogramos, mientras que hace un año la producción alcanzó 1.120 millones de sacos. También se especificó que por las precipitaciones, se ralentizó la maduración del fruto en un periodo cercano a seis semanas.    En cuanto a los resultados año corrido, se mantiene la tendencia de crecimiento (de 14% frente al mismo periodo de 2024) y la producción de los últimos 12 meses alcanzó 14,62 millones de sacos, que representan un crecimiento de 23% en un año.    Del lado de las exportaciones, las cifras también son alentadoras en tanto que se registró un crecimiento de 17% en la comparación interanual, representados en 12,91 millones de sacos destinados a las ventas externas; el Fondo Nacional de Café incrementó sus exportaciones en 23% en 12 meses.    Hasta abril de 2025, los principales mercados para la exportación de café colombiano son Estados Unidos, Alemania, Canadá, Bélgica y Japón, quienes recibieron cerca de 518.000 sacos de café colombiano en el cuarto mes del año.    ""El comportamiento climático de 2025 plantea dos desafíos relevantes: en primer lugar, el retraso y desfase de la cosecha del sur; y en segundo lugar y de mayor preocupación, el impacto que tendrá en la cosecha principal del segundo semestre debido a la escasa floración observada en el mes de febrero"", señaló Germán Bahamón desde su cuenta de X.",http://localhost:8000/storage/noticias/1752337187_68728b235510d.jpg,1,"2025-07-12 11:19:47","2025-07-12 12:37:51"
,cafe,"Las exportaciones agro aumentaron 47,7% durante abril en comparación con 2024",larepublica,SuperAdmin,pendiente,"Entre los productos del sector que muestran mayor crecimiento en valor son café sin tostar, las flores y el aceite de palma.    De acuerdo con el último informe del Departamento Administrativo Nacional de Estadística, Dane, las exportaciones del sector de productos agropecuarios, alimentos y bebidas presentó un aumento de 47,7% en comparación con el mismo periodo del año pasado. Durante el cuarto mes del año este sector alcanzó US$1.399 millones.    Cabe resaltar que es la primera vez tras diez años que el sector agropecuario alcanza una participación superior a 33,9% de las exportaciones del país, acercándose a los valores del combustible.    Entre los productos dentro del sector que mostraron mayor aumento están el café sin tostar con 162,8% en valor y 127,6% en volumen, las flores con 36,3% en valor y 13,9% en volumen, y el aceite de palma con 18% en valor y 11,7% en volumen. Las frutas frescas también lograron un aumento de 37,5% en valor y 19,5% en cantidad.    Los principales destinos de estas exportaciones colombianas son Estados Unidos, Panamá, China, Países Bajos y Ecuador.    Martha Carvajalino, ministra de Agricultura, comentó que el sector agro ha reflejado resiliencia a pesar de las distintas situaciones mundiales que han afectado a los mercados globales.    “Es por eso que mantenemos firme nuestro compromiso de avanzar en la diversificación de mercados, no solo para que el mundo conozca todas las posibilidades que tiene Colombia para combatir el hambre global, sino para fortalecer nuestra economía que ya viene por una senda de crecimiento durante el Gobierno del presidente Gustavo Petro”, afirmó Carvajalino.",http://localhost:8000/storage/noticias/1752337135_68728aef207a2.jpg,,"2025-07-12 11:18:55","2025-07-12 11:18:55"
,cafe,"El precio del café sigue cayendo y retornó a mínimos que no se veían desde noviembre",larepublica,SuperAdmin,pendiente,"El precio de la carga interna, sacos de 125 kilogramos, llegó a $2.328.000, mientras que el valor de la libra del grano en la bolsa de nueva york cerró en US$2,91 el 1° de julio.  En junio se vio que los precios del café tuvieron una marcada tendencia a la baja. Tanto su valor de la carga interna como en la bolsa de Nueva York mostraron caídas, sin embargo, para los analistas este era un escenario previsible, tomando en cuenta el incremento de las lluvias que ya afectó la producción cafetera y que a nivel internacional se vio afectado por el crecimiento de la oferta y el equilibrio de otros grandes mercados globales como el de Vietnam.    Ambos precios de referencia han tocado cifras que no se veían desde finales del año pasado. Por ejemplo, el precio de la carga interna al cierre de la jornada del 1° de julio fue de $2.328.000, contrastando las referencias vistas durante el primer semestre que oscilaron entre $2.900.000 y $3.000.000. De hecho, la tarifa actual no se veía desde mediados de noviembre de 2024.    En los últimos 20 días, el precio de la carga interna bajó $550.000, y estiman que en el corto plazo las referencias sigan cayendo.    Por parte del precio de la libra del café en la bolsa de Nueva York, este año alcanzó máximos sobre la línea de US$4 pero el 1 de julio la cotización cerró en US$2,91. Un libra por debajo de US$3 no se veía desde el 3 de diciembre de 2024.    El precio interno  Hay una serie de factores que se conjugan para que se vea un bajo precio en la carga interna del café, uno de ellos es la baja en el valor de la libra del café en Nueva York, que como se señaló previamente llegó a niveles del año pasado.    También el precio de la Tasa Representativa del Mercado, si el peso se fortalece frente al dólar también impacta. El tercer factor es la producción de la materia prima. Sobre este último elemento lo que más ha incidido son las lluvias y la nubosidad, las cuáles están afectando la recolección de sacos.    De hecho, el Departamento de Agricultura de Estados Unidos, ajustó sus previsiones mundiales sobre el café para el cierre de este año y para 2026, y revelaron la producción de café en Colombia disminuiría unos 700.000 sacos, llegando a un total de 12,5 millones de sacos, por las lluvias excesivas que interrumpieron el período de floración y redujeron los rendimientos de la cosecha.    ARTÍCULO RELACIONADO  CaféFNC se pronunció sobre declaratoria del café, que ya es oficialmente una bebida nacional  Sobre las exportaciones, se prevé que las que van dirigidas a Estados Unidos y a la Unión Europea disminuyan 500.000 sacos hasta 10,7 millones.    La libra también baja  Países que tienen una mayor producción del café como es el caso de Brasil, Vietnam y hasta Indonesia han sido especialmente afectados por el clima, siendo Suramérica la región que más problemas tiene por las lluvias, pero los países asiáticos se encuentran en su mejor momento, lo que está incidiendo en las cotizaciones internacionales.    “La producción de café en el mundo y su impacto en el precio dependerá de grandes jugadores como Brasil y Vietnam, Brasil produce 65 millones de sacos, Vietnam entre 30 y 32 millones, mientras que nosotros aproximadamente 13 millones de sacos, lo que pase con ellos será lo más importante”, dijo el presidente de Asoexport, Gustavo Gómez.    LOS CONTRASTES  Guillermo Trujillo Analista Sector Cafetero  Guillermo Trujillo  Economista y analista cafetero  “Lo normal es donde estamos, lo anormal es el precio de la libra de café en la bolsa de Nueva York en US$4, ojalá aterrice en US$2,50, es un precio decente, pero puede bajar mucho más que eso”.    Por su parte, el economista y analista cafetero, Guillermo Trujillo señaló que no es una sorpresa ver lo que está sucediendo en estos momentos con los precios del café.    “Esto es lo normal, lo anormal es lo que se estaba viendo antes, cuando la libra llegó a US$4”, señaló.    Trujillo enfatizó que el mercado, en estos momentos, se está equilibrando porque se estabilizan las condiciones climáticas de los grandes productores como Vietnam, lo que reajusta la estabilidad del café global.    A pesar de esto, se prevé que Colombia alcance el récord en la producción al cierre de 2025.",http://localhost:8000/storage/noticias/1752336996_68728a6475d29.jpg,,"2025-07-12 11:16:36","2025-07-12 11:16:36"
,cafe,"Las lluvias constantes están encareciendo productos como el café y el tomate",larepublica,SuperAdmin,pendiente,"La maduración de los frutos y los cultivos se han visto afectados por la variación climática, esta es una de las razones relevantes que ha influido en el precio de los alimentos.  La economía y la agricultura del país se vienen enfrentando a varios desafíos desde inicio de año. Uno de los datos macro que no se ha comportado acorde con las expectativas de los analistas es la inflación, que no ha tenido el mismo ritmo de desaceleración de 2024, motivado por el aumento en los precios de alimentos y bebidas.    El comportamiento de este sector ha estado marcado por factores climáticos, que han incidido en las cosechas de productos tan representativos para el ingreso de divisas como el café. Recientemente la Unidad de Planificación Rural, Upra, aseguró que la división de alimentos y bebidas (entre enero y mayo) ha aumentado 4,88%, jalonado principalmente por los precios del tomate y del café.    Por ejemplo, si se comparan los datos mensuales del Departamento Administrativo Nacional de Estadística, Dane, del periodo en estudio, entre enero y mayo, el precio del tomate chonto ha aumentado aproximadamente $1.200. El café también experimentó un incremento aproximado de $11.000.    Los alimentos afectados por las lluvias en 2025  Gráfico LR  De acuerdo con los datos de la Upra, el tomate ha mostrado un incremento de 61,38% en su valor, mientras que el aumento del café fue de 26,89%. El listado de los que más han aumentado lo completan hortalizas y legumbres frescas (15,5%), las frutas frescas (9,83%) y la carne de res (3,72%). En la comparación interanual, se evidencia un crecimiento en su valor de 44,9%.    ARTÍCULO RELACIONADO  Comportamiento de la inflación en mayoCategoría de los alimentos vuelve a ser el principal jalonador de la inflación  Las lluvias son la principal razón de la variación en el precio por la afectación que deja en cultivos como el tomate, el café y la papa. La Upra aseguró que su precio se ha afectado no solo por el encarecimiento de insumos agrícolas también ha impulsado el aumento de precios. “Esta temporada empezó en el último trimestre de 2024 y ha continuado sin interrupción en 2025, más intensamente desde marzo. Las lluvias excesivas afectan los cultivos, reduciendo la producción y la calidad e impulsando los precios al alza en el mercado”.    De acuerdo con su boletín agroclimático, la región andina se ha visto afectada y los productos que allí se siembran como el café, hortalizas y frutas desde febrero están en riesgo por enfermedades a raíz de las lluvias. De hecho, el exministro de agricultura, Andrés Valencia señaló que el exceso de lluvias impacta en las cosechas afectando el proceso de maduración, anega los suelos y afecta la fertilización.    “El cambio de clima afecta la recolección de las siembras, pero también existen consecuencias a la hora de sacar los alimentos de los lugares de producción, se vuelve difícil por el deterioro de las vías”, explicó.    Fenalce también mencionó otros factores como los cambios en la oferta y la demanda, pero coincidió que el clima es un factor importante. “Lluvias intensas o sequías prolongadas, dependiendo del momento en el que afecten el ciclo del cultivo, pueden generar graves pérdidas y reducir la oferta, lo que tiende a encarecer significativamente los precios”.    Otros factores  El presidente de la Sociedad de Agricultores de Colombia, SAC, Jorge Bedoya, aseguró que hay otros factores más allá de la lluvia que llevan al encarecimiento de los productos. Por ejemplo, el café y el cacao está relacionado con su comportamiento internacional.    El caso del tomate está influido por la oferta y la demanda. “Las lluvias dependiendo de la zona, la intensidad y la duración sin duda tienen impacto para los productores de una zona específica. Pero no tenemos reporte de afectaciones a nivel nacional por este tema”.    Aunque la carne también está entre los alimentos que han aumentado su valor, este se da por otros factores y a igual que el café y el cacao también tienen una connotación internacional, por ende la demanda baja.",http://localhost:8000/storage/noticias/1752336914_68728a1219214.jpg,,"2025-07-12 11:15:14","2025-07-12 11:15:14"
,cafe,"Fedecafé se opuso frente al registro de Coffe Col en la Superintendencia de Industria",Larepublica,SuperAdmin,pendiente,"Si hay un gremio que no para de presentar oposiciones a registros de marca ante la Superintendencia de Industria y Comercio, SIC, ese es la Federación Nacional de Cafeteros, Fedecafé.    Esta vez, la entidad gremial de los cafeteros se opuso a la solicitud que hizo Coffe Col al órgano de control, para registrar la marca ‘Raigal Colombian Coffe’, y así distinguir productos en la clase 30 de la Clasificación Internacional de Niza.    Entre los argumentos que Fedecafé presentó para negarse al registro del signo solicitado estaba la protección a la denominación de origen de las expresiones ‘Café’ y ‘Colombia’. Y es que Fedecafé, naturalmente, se opone al registro de marcas que puedan relacionarse con la Denominación de Origen Café de Colombia, que desde 2005, por orden de la SIC, su protección y facultad de utilización está sobre la Federación.    Esta denominación tiene unas características particulares como el tipo de café y la zona geográfica donde es cultivado, que incluye, entre otras cosas, incluso la altura geográfica del origen del grano de café.    Razón por la que la Federación se opuso a que la marca pretendida a registrar pudiera darle a entender al consumidor que era un café que cumplía con las características para ser Denominación de Origen.    Sin embargo, la SIC declaró infundada la oposición, pero Coffe Col radicó una solicitud ante la Superintendencia para modificar el signo, cambiando la frase ‘Colombian Coffe’ por ‘Colombian Flavors’, indicando que la petición “obedece a no tener oposición de parte de la Federación Nacional de Cafeteros y poder continuar con el proceso, ya que esto me genera para mi empresa que es de nivel micro gran perjuicio económico y demoras en el trámite”, indicó Nazly Jaramillo Cruz, representante legal de Coffe Col SAS.    Seguido, la marca solicitante volvió a solicitar una modificación en la que pidió que en el signo de la marca solo quedara la palabra ‘Raigal’, omitiendo el ‘Colombian Flavors’ que había pedido modificar.    En ese sentido la deliberación de la SIC ya no se centró en el pleito entre la Federación de Cafeteros de Colombia y Coffe Col, sino en el nuevo signo y nombre de la marca a registrar.    De esta manera, la Superintendencia encontró que el signo ‘Raigal’ no podía ser registrada, porque en el estudio encontró una marca que contenía la expresión ‘Raigal’.    Se trata de un signo propiedad de la Lechonería Tolimense y Salsamentaria Madrigal y Compañía Limitada, la cual tiene la marca ‘Raigal’ registrada.    Siendo así, la SIC estudió el caso, primero partiendo de que ambos signos tienen una naturaleza mixta, pues se compone de una parte nominativa y otra figurativa. Así mismo, identificó que la similitud entre la marca antecesora y la solicitante estaba en la parte nominativa del signo, el nombre ‘Raigal’ más no en la parte figurativa, que en el caso del solicitante se asemeja a unas montañas, y en la antecesora la silueta de un cerdo. “La regla general nos indica que el elemento dominante de una marca mixta es el denominativo.    Lo anterior, en tanto la práctica comercial demuestra que un consumidor demanda un producto o servicio empleando su denominación y no guiándose por la presencia de elementos decorativos. Sin embargo, esta pauta deja de aplicarse cuando existen razones para dar una mayor relevancia al componente gráfico”, aseguró la Superintendencia.",http://localhost:8000/storage/noticias/1752336844_687289cc3212b.jpg,,"2025-07-12 11:14:04","2025-07-12 11:14:04"
,mora,"¿Consumir moras aumenta el nivel de azúcar en la sangre?","Cultiva Sena",SuperAdmin,pendiente,"No afirma la ciencia, el consumir moras no aumentara el nivel de azucar que una persona sana o diabetica tinene en su sangre, la razon es que las azucares que contiene la mora, como el resto de sus componentes se diluyen en la sangre con tanta lentitud que son imperceptibles en el nivel de glucosa, ademas, las moras tienen presencia de pteroestiblenos que han demostrado ser utiles para regular el azucar en la sangre.",http://localhost:8000/storage/noticias/1752336718_6872894e50c1c.jpeg,,"2025-07-12 11:11:58","2025-07-12 11:11:58"
,mora,"Moras: 10 beneficios y cómo consumir (con recetas)","Cultiva Sena",SuperAdmin,pendiente,"10 beneficios de la mora Algunos beneficios de la salud de las moras son:      1. Facilitar la pérdida de peso: La mora es una fruta de bajo índice glucémico debido a sus excelentes cantidades de fibra, lo que ayuda a prolongar la sensación de saciedad y a reducir el apetito entre comidas, lo que facilita la pérdida de peso.      2. Prevenir enfermedades cardiovasculares: Tanto la fruta como la hoja de la mora son ricas en ácidos fenólicos, carotenoides, flavonoides y antocianinas, compuestos bioactivos con propiedades antiinflamatorias que contribuyen a mantener la salud de las arterias, previniendo enfermedades como el infarto y la hipertensión. La mora también posee antioxidantes que protegen contra la oxidación de las células grasas, equilibrando los niveles de colesterol ""malo"", el LDL, y los triglicéridos en la sangre, previniendo la aterosclerosis y el derrame cerebral.      3. Prevenir la diabetes: Debido a su alto contenido de fibra, la mora tiene un bajo índice glucémico, lo que ayuda a equilibrar los niveles de glucosa en sangre, previniendo la resistencia a la insulina y la diabetes.      4. Prevenir el envejecimiento prematuro: La mora es rica en flavonoides, antocianinas y ácidos fenólicos, compuestos bioactivos con acción antioxidante que combaten los radicales libres responsables del daño en la piel, previniendo la flacidez y las arrugas.      5. Ayudar en el tratamiento de la diarrea: La mora, especialmente sus hojas, contiene flavonoides, taninos, saponinas y glucósidos, compuestos bioactivos con propiedades antiinflamatorias y astringentes que alivian la inflamación intestinal, ayudando en el tratamiento de la diarrea.      6. Combatir el estreñimiento: La mora es una fruta rica en fibras solubles e insolubles que aumentan el volumen de las heces y mejoran los movimientos naturales del intestino, ayudando a combatir el estreñimiento.      7. Prevenir el cáncer: El fruto y las hojas de la mora ayudan a prevenir el cáncer, ya que contienen antioxidantes que combaten los radicales libres, evitando el desarrollo y la multiplicación de células cancerosas, y fortalecen la inmunidad, reduciendo el riesgo de ciertos tipos de cáncer como el de esófago, útero y mama.      8. Ayudar en el tratamiento de infecciones: La mora contiene altos niveles de compuestos con propiedades antimicrobianas y antiinflamatorias, como antocianinas, taninos y carotenoides, que fortalecen el sistema inmunológico y ayudan en la prevención y tratamiento de infecciones como dolor de garganta, aftas y gingivitis.      9. Mantener la salud ocular: La mora mantiene la salud ocular debido a su contenido de luteína y zeaxantina, carotenoides que protegen los ojos contra los rayos ultravioleta del sol y la luz azul de dispositivos electrónicos, previniendo la degeneración macular relacionada con la edad.      10. Prevenir la osteoporosis: La mora ayuda a prevenir la osteoporosis al ser rica en vitamina K, necesaria para la fijación de calcio en los huesos, lo que es fundamental para mantener la salud ósea en la edad adulta.",http://localhost:8000/storage/noticias/1752336691_68728933a4a4c.jpeg,,"2025-07-12 11:11:31","2025-07-12 11:11:31"
,mora,"Alteraciones gastrointestinales:","Cultiva Sena",SuperAdmin,pendiente,"Las moras y sus derivados pueden provocar indigestión, náuseas, diarrea e hinchazón. En un estudio, los pacientes que tomaron comprimidos de hojas de morera para tratar la dislipidemia experimentaron diarrea leve, mareos o estreñimiento e hinchazón. Además, el látex, que es esa savia blanca lechosa de las moras es tóxico, especialmente para los insectos y las orugas. Esta sustancia puede causar una leve irritación de la piel en los seres humanos. Y como es obvio, no se recomienda ingerirlo porque puede causar dolor de estómago, hinchazón y diarrea.",http://localhost:8000/storage/noticias/1752336664_68728918eeb71.jpeg,,"2025-07-12 11:11:04","2025-07-12 11:11:04"
