"ID Producto","Tipo Producto",Estado,"Observaciones del Producto","Ruta Imagen","RutaVideo Producto","ID Usuario Creador","Nombre Usuario Creador","Email Usuario Creador","Fecha de Creacion","Cafe - Numero Pagina","Cafe - Clase","Cafe - Informacion","Mora - Numero Pagina","Mora - Clase","Mora - Informacion","Video - Autor","Video - Titulo","Video - Descripcion","Video - RutaVideo","Video - Subtipo"
19,videos,rechazado,"Esta mal",,,1,SuperAdmin,super@admin.com,"2025-07-07 15:17:38",,,,,,,"El Podador","Poda de Arboles Frutales","Guía completa sobre las técnicas de poda para árboles frutales y su importancia.",https://www.youtube.com/embed/I2GkLBhUxlQ,Cuidados_generales
10,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:08:46",,,,,,,"Agro Sapiens","Introduccion a la Agricultura Sostenible","Aprende los fundamentos para cultivar de manera ecológica y productiva.",https://www.youtube.com/embed/kj-Ty-NiJ84,Educativo
11,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:12:56",,,,,,,"Cultivo Facil","Manejo Eficiente del Agua en Cultivos","Descubre técnicas clave para optimizar el riego y ahorrar agua en tus cosechas.",https://www.youtube.com/embed/f2s_uwWFvFM,recomendados
12,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:13:45",,,,,,,"Huerta Feliz","Beneficios de la Rotacion de Cultivos","Entiende por qué rotar tus cultivos es esencial para la salud del suelo y la prevención de plagas.",https://www.youtube.com/embed/C8w0ocxQWqc?si=WsaCjkCYl5yX7Ri0,recomendados
20,videos,aprobado,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:18:12",,,,,,,"Plantas Saludables","Prevencion de Enfermedades en Plantas","Identifica y previene las enfermedades más comunes en tus cultivos con estos consejos.",https://www.youtube.com/embed/C6K3tV2YL5Q,Cuidados_generales
18,videos,aprobado,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:16:52",,,,,,,"Agro Quimica Plus","Uso Correcto de Abonos Quimicos","Aprende a aplicar fertilizantes químicos de forma segura y eficaz.",https://www.youtube.com/watch?v=WxRqNSTxt7IjUAFJxX168,Insumos_y_abonos
13,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:14:21",,,,,,,"Compost Master","Compostaje Casero para Principiantes","Guía paso a paso para crear tu propio compost orgánico en casa.",https://www.youtube.com/embed/pGvsP4X_0Wk,recomendados
14,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:14:55",,,,,,,"BioPlagas Control","Control de Plagas Organico","Métodos naturales y efectivos para proteger tus plantas de las plagas sin químicos dañinos.",https://www.youtube.com/embed/LCY-68WMyIk,recomendados
15,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:15:26",,,,,,,"Cosecha Perfecta","Fundamentos de la Cosecha Eficiente","Consejos esenciales para saber el momento exacto y la forma correcta de cosechar tus productos.",https://www.youtube.com/embed/TmHJn4Vt3qc,recomendados
16,videos,pendiente,,,,1,SuperAdmin,super@admin.com,"2025-07-07 15:15:56",,,,,,,"Fertiliza Bien","Tipos de Fertilizantes Organicos","Explora las mejores opciones de abonos naturales para nutrir tus plantas.",https://www.youtube.com/watch?v=fWvRtQVXpC0PMXRXW912Y,Insumos_y_abonos
17,videos,rechazado,"Esta mal",,,1,SuperAdmin,super@admin.com,"2025-07-07 15:16:27",,,,,,,"BioQuimica Rural","Preparacion de Biofertilizantes","Recetas sencillas para elaborar biofertilizantes caseros que impulsarán tus cultivos.",https://www.youtube.com/embed/mM9_F5lPy6g,Insumos_y_abonos
27,café,rechazado,"Esta mal",http://localhost:8000/storage/productos/hN8x0e7NnhYJ2jymtotrE1lEuQinID7qiqP21wTP.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:48:04",,,,,,,,,,,
23,café,pendiente,,http://localhost:8000/storage/productos/nJ2M7TucA52yS07SehCLBQM5wQ1Hn5rPw2f6sH2L.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:44:20",,,,,,,,,,,
24,café,pendiente,,http://localhost:8000/storage/productos/dlWtl1spksCFoDzmRJxlHVJraP3eNkLt1iAoXcK8.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:45:04",,,,,,,,,,,
25,café,pendiente,,http://localhost:8000/storage/productos/zqRR1Tz6VGHOjsjI7IGsNMq1aUXiczcY0x1qdvOC.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:46:12",,,,,,,,,,,
22,café,pendiente,,http://localhost:8000/storage/productos/G0g1CqHbjWN9kb7tHnTeIhUUQ1rZMGKzQlOcVcAn.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:41:39",,,,,,,,,,,
21,café,aprobado,,http://localhost:8000/storage/productos/t2ZYI5zXrHgVJs9lvb2XMNmDdRNGWqScCN171Wln.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:39:54",,,,,,,,,,,
26,café,rechazado,"Esta mal",http://localhost:8000/storage/productos/65gY0EqoaT3AE8OAhuMsGiTYGyKymfmHDcZZlnI2.jpg,,1,SuperAdmin,super@admin.com,"2025-07-07 15:47:01",,,,,,,,,,,
29,cafe,aprobado,,http://localhost:8000/storage/productos/w0JuAz5sHWqP2OeynzopZXYlqQ8Le1xadsCOLaDU.png,,1,SuperAdmin,super@admin.com,"2025-07-09 21:33:31",3,Informacion,"hola todo marcha bien o no?",,,,,,,,
